Q1,Q2,Q3,Q4,Q5,Q6,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q19,Q20,Q21,Q22,Q23,Q23_6_TEXT,Q24,Q24_6_TEXT,Q26,Q27,Q28,Q29,Q30,Q32,Q33,Q34,Q34_4_TEXT,Q35,Q35_7_TEXT
No,Yes,No,Yes,I don't remember,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,No,,,Google,"Text message to your phone,Code sent to your email,A one time passcode from an app",,I could not connect because I did not have my phone/secondary device,,To secure my account,,Yes,"Some college, but no degree",35-44 years old,"Natural Resources, Construction, and Maintenance Occupations",Male,Democrat,,"Social Media,Online news sites,Radio,Podcasts",
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,No,,,No,,,Both,"Text message to your phone,Code sent to your email,An “Approve” or “Deny” notification",,"I could not connect because I did not have my phone/secondary device,I could not connect because I had no cellular service/internet service",,To secure my account,,Yes,Bachelor’s degree,18-24 years old,Healthcare,Female,Independent,,"Online news sites,Radio,Podcasts",
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,,No,,,Both,"Text message to your phone,Code sent to your email,An “Approve” or “Deny” notification",,,,"It was required,To secure my account",,Yes,"Some college, but no degree",35-44 years old,Personal Care and Service Occupations,Male,Independent,,"Social Media,TV,Printed newspapers,Online news sites,Podcasts",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Yes,Yes,Yes,I don't remember,Yes,Yes,Yes,Yes,No,,,No,,,No,,,Neither,,,,,,It takes too long to set up,Yes,"Some college, but no degree",18-24 years old,Student,Male,Democrat,,"Social Media,Online news sites,Podcasts",
No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,No,,,No,,,Neither,,,,,,I just want to access my account,No,"Some college, but no degree",45-54 years old,Sales and Office Occupations,Female,No preference,,Social Media,
No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Google,"A universal 2 factor security key, such as YubiKey",,Other,Yubikey and back ups are pricey,To secure my account,,Yes,Bachelor’s degree,25-34 years old,"Computer, Engineering, and Science Occupations",Male,Democrat,,Online news sites,
Yes,Yes,Yes,Yes,Yes,No opinion,Yes,Yes,No opinion,Yes,Yes,No,No,,,No,,,Google,Text message to your phone,,Other,Sometimes the app I need for 2FA times out and I have to go through multiple attempts,To secure my account,,No,Bachelor’s degree,25-34 years old,Sales and Office Occupations,Female,Other,Liberal but not Dem,Online news sites,
I don't know,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,Google,"Text message to your phone,Code sent to your email,An “Approve” or “Deny” notification",,I could not connect because I did not have my phone/secondary device,,To secure my account,,No,Bachelor’s degree,55-64 years old,Sales and Office Occupations,Male,Republican,,"Social Media,Online news sites,Podcasts",
